country;population;density;area;fertility;age;urban;share
Afghanistan;42647492;65;652860;4,8;17;27 %;0,52
Albania;2791765;102;27400;1,3;37;69 %;0,03
Algeria;46814308;20;2381740;2,7;28;74 %;0,57
American Samoa;46765;234;200;2,3;29;N.A.;0
Andorra;81938;174;470;1,1;43;83 %;0
Angola;37885849;30;1246700;5;17;68 %;0,46
Anguilla;14598;162;90;1,4;38;N.A.;0
Antigua and Barbuda;93772;213;440;1,6;36;28 %;0
Argentina;45696159;17;2736690;1,5;33;95 %;0,56
Armenia;2973840;104;28470;1,7;36;63 %;0,04
Aruba;108066;600;180;1,6;41;44 %;0
Australia;26713205;3;7682300;1,6;38;86 %;0,33
Austria;9120813;111;82409;1,3;43;58 %;0,11
Azerbaijan;10336577;125;82658;1,7;33;58 %;0,13
Bahamas;401283;40;10010;1,4;35;88 %;0
Bahrain;1607049;2115;760;1,8;33;N.A.;0,02
Bangladesh;173562364;1333;130170;2,1;26;42 %;2,13
Barbados;282467;657;430;1,7;39;32 %;0
Belarus;9056696;45;202910;1,2;41;84 %;0,11
Belgium;11738763;388;30280;1,4;42;99 %;0,14
Belize;417072;18;22810;2;26;48 %;0,01
Benin;14462724;128;112760;4,5;18;47 %;0,18
Bermuda;64636;1293;50;1,4;46;93 %;0
Bhutan;791524;21;38117;1,4;30;49 %;0,01
Bolivia;12413315;11;1083300;2,5;25;70 %;0,15
Bosnia and Herzegovina;3164253;62;51000;1,5;45;56 %;0,04
Botswana;2521139;4;566730;2,7;23;75 %;0,03
Brazil;211998573;25;8358140;1,6;34;91 %;2,6
British Virgin Islands;39471;263;150;1;38;43 %;0
Brunei;462721;88;5270;1,7;32;80 %;0,01
Bulgaria;6757689;62;108560;1,7;45;77 %;0,08
Burkina Faso;23548781;86;273600;4,1;17;33 %;0,29
Burundi;14047786;547;25680;4,8;16;14 %;0,17
Cabo Verde;524877;130;4030;1,5;28;78 %;0,01
Cambodia;17638801;100;176520;2,5;26;26 %;0,22
Cameroon;29123744;62;472710;4,3;18;59 %;0,36
Canada;39742430;4;9093510;1,3;40;80 %;0,49
Caribbean Netherlands;30675;94;328;1,5;40;66 %;0
Cayman Islands;74457;310;240;1,5;38;90 %;0
Central African Republic;5330690;9;622980;6;14;44 %;0,07
Chad;20299123;16;1259200;6;16;22 %;0,25
Chile;19764771;27;743532;1,1;36;85 %;0,24
China;1419321278;151;9388211;1;40;66 %;17,39
Colombia;52886363;48;1109500;1,6;32;81 %;0,65
Comoros;866628;466;1861;3,8;21;33 %;0,01
Congo;6332961;19;341500;4,1;18;69 %;0,08
Cook Islands;13729;57;240;2;36;98 %;0
Costa Rica;5129910;100;51060;1,3;35;84 %;0,06
Côte d'Ivoire;31934230;100;318000;4,2;18;49 %;0,39
Croatia;3875325;69;55960;1,5;45;61 %;0,05
Cuba;10979783;103;106440;1,4;42;81 %;0,13
Curaçao;185482;418;444;1,1;38;80 %;0
Cyprus;1358282;147;9240;1,4;38;61 %;0,02
Czech Republic (Czechia);10735859;139;77240;1,5;43;74 %;0,13
Denmark;5977412;141;42430;1,5;41;87 %;0,07
Djibouti;1168722;50;23180;2,6;25;71 %;0,01
Dominica;66205;88;750;1,5;36;83 %;0
Dominican Republic;11427557;236;48320;2,2;28;86 %;0,14
DR Congo;109276265;48;2267050;6;16;44 %;1,34
Ecuador;18135478;73;248360;1,8;29;65 %;0,22
Egypt;116538258;117;995450;2,7;24;41 %;1,43
El Salvador;6338193;306;20720;1,8;27;79 %;0,08
